MUNIC_RES	DIAG_PRINC	QTD
130260	B401	12
130260	B402	28
130260	B403	1
130260	B410	7
130260	B420	2
130260	B421	4
130260	B430	8
130260	B440	9
130260	B441	2
130260	B451	2
130260	B452	2
130260	B460	4
130260	B463	2
130260	B470	1
130260	B479	6
130260	B480	5
130260	B487	1
130260	B488	1
130260	B49	2
130260	B559	2
130260	B573	4
130260	B700	1
130260	B73	1
130260	B770	4
130260	B778	1
130260	B779	2
130260	B92	5
130270	B368	87
130270	B650	1
130280	B770	2
130290	A90	19
130290	A91	1
130290	B451	2
130290	B559	1
130300	A308	1
130310	A90	1
130310	B369	1
130310	B49	1
130340	A90	2
130340	B779	1
130350	B839	1
130353	A270	1
130353	A90	5
130353	A91	1
130353	B358	1
130353	B359	1
130353	B417	1
130353	B430	1
130356	A90	1
130360	A90	3
130370	B359	2
130380	A90	8
130406	A279	3
130406	A91	1
130406	B378	2
130406	B829	1
130420	A309	1
130420	A90	6
130420	A91	1
130420	B770	2
150140	A91	1
150840	B402	1
220335	A90	1
240730	A90	1
260805	A90	2
261110	A90	6
261110	B550	3
261220	A90	1
261245	B370	1
270010	A90	1
270240	B559	1
270500	A90	1
280740	A90	1
290020	A829	1
290020	A90	3
290040	A90	6
290040	A91	1
290040	B550	1
290050	B559	1
290060	A90	14
290070	A279	3
290070	A90	12
290070	A91	1
290070	B370	1
290070	B488	1
290070	B550	1
290070	B570	1
290070	B658	1
290070	B770	1
290070	B779	2
290080	A90	63
290080	A91	3
290090	A90	1
290100	A90	3
290100	A91	1
290100	B371	1
290100	B49	2
290110	A90	2
290110	B440	1
290115	A90	18
290115	B550	1
290120	A300	1
290120	A90	7
290120	B550	1
290120	B559	1
290130	A300	1
290130	A303	1
290130	A308	1
290130	A309	1
290130	A90	5
290130	B550	4
290130	B551	1
290130	B552	1
290130	B559	1
290140	A90	1
290150	A90	1
290160	A90	17
290170	B550	4
290170	B779	1
290180	A90	1
290180	B659	1
290190	B368	1
290195	A90	7
290195	B770	1
290200	A90	1
290200	A91	2
290205	A90	2
290210	A308	1
290210	A90	124
290210	B379	1
290210	B550	1
290225	A90	2
290225	B441	1
290240	A90	56
290250	A90	52
290260	A90	24
290260	A91	1
290265	A90	6
290270	A309	2
290270	A90	100
290270	B49	1
290280	A90	1
290280	B559	1
290290	A309	1
290290	B779	1
290300	A90	20
290300	B451	1
290300	B550	1
290310	A90	21
290320	A300	1
290320	A90	73
290320	A91	1
290320	B360	1
290320	B369	6
290320	B49	3
290320	B551	1
290320	B570	1
290320	B571	1
290323	A90	8
290323	B550	1
290327	A90	11
290327	B550	2
290330	A90	8
290350	A90	4
290350	B550	1
290360	A90	6
290370	A90	6
290370	B369	1
290380	A90	13
290390	A309	1
290390	A90	2
290390	A91	1
290390	B551	1
290390	B559	2
290390	B572	1
290405	A90	11
290410	A305	1
290410	B550	3
290420	A90	64
290430	A90	10
290450	A90	1
290450	B550	1
290460	A90	51
290460	A91	211
290460	B550	4
290460	B551	1
290460	B559	1
290460	B571	1
290460	B690	1
290470	A90	14
290475	B550	1
290480	A90	110
290485	B550	7
290490	A300	1
290490	A90	1
290490	A91	1
290500	A90	2
290510	A90	17
290510	B551	1
290515	B551	1
290520	A305	1
290520	A90	27
290520	B432	1
290520	B550	1
290520	B551	1
290520	B573	1
290530	A90	31
290530	A91	1
290540	A279	1
290540	A90	2
290550	A90	13
290560	A270	1
290560	A90	27
290560	A91	1
290570	A279	2
290570	A305	1
290570	A308	2
290570	A90	30
290570	A91	3
290570	B49	1
290570	B550	2
290570	B573	1
290570	B659	1
290580	A90	1
290590	A90	39
290600	A278	1
290600	A90	22
290600	B550	2
290600	B573	1
290610	A90	1
290620	A90	64
290620	A91	7
290620	B550	2
290620	B690	1
290630	A279	2
290630	A90	36
290630	A91	1
290630	B369	13
290630	B488	2
290630	B49	5
290640	A90	8
290650	A278	1
290650	A279	1
290650	A308	2
290650	A90	11
290650	A91	2
290660	A829	3
290660	A90	20
290660	B573	1
290660	B699	1
290670	A90	4
290670	A91	1
290670	B354	1
290670	B659	1
290680	A90	9
290682	A90	6
290682	B559	1
290685	A90	28
290687	A90	160
290687	B49	1
290687	B551	1
290690	A90	52
290690	A91	1
290710	A90	4
290720	A90	5
290720	B550	2
290720	B552	1
290720	B559	1
290730	A90	8
290740	A90	1
290750	A308	1
290750	A90	68
290755	A90	4
290760	A90	43
290770	A90	1
290780	A309	1
290780	A90	7
290790	A90	16
290800	A90	21
290810	A90	60
290810	A91	1
290810	B370	1
290820	A90	2
290830	A300	1
290830	A90	1
290840	A300	1
290840	A305	1
290840	A90	168
290840	B779	1
290850	A90	11
290850	A91	1
290850	B550	1
290860	B550	2
290890	A90	64
290900	A90	1
290910	A90	85
290920	A90	1
290930	A90	7
290940	A90	1
290950	A90	1
290960	B550	1
290960	B779	1
290970	A90	1
290980	A90	5
290980	B382	1
290990	A309	1
290990	A90	35
290990	B370	1
291000	A90	46
291000	A91	1
291000	B550	1
291005	A90	2
291005	A91	1
291005	B552	1
291005	B778	1
291010	A90	3
291010	A91	1
291040	A91	1
291050	A279	1
291050	A90	1
291050	B370	1
291050	B550	1
291050	B572	1
291050	B770	1
291060	A308	2
291060	B370	1
291060	B779	2
291070	A90	18
291070	B451	2
291070	B550	4
291072	A279	1
291072	A308	1
291072	A90	3
291072	B559	1
291075	A90	1
291077	A90	11
291080	A308	8
291080	A90	134
291080	A91	31
291080	B550	5
291080	B551	1
291080	B559	1
291080	B72	1
291080	B770	3
291080	B778	1
291085	A90	31
291085	A91	1
291100	A90	2
291110	A300	2
291110	A90	2
291120	A90	1
291120	B377	1
291120	B550	1
291120	B551	1
291125	A90	6
291130	A90	9
291140	A90	1
291150	A90	26
291160	A279	1
291160	A90	1
291170	A279	1
291170	A308	1
291170	A90	133
291170	A91	7
291170	B550	4
291170	B551	8
291170	B552	1
291170	B559	5
291180	A90	5
291185	A90	1
291190	A90	13
291190	B370	2
291200	A820	1
291200	A90	17
291210	A90	6
291230	A90	4
291240	B550	2
291270	A90	20
291270	B49	1
291280	A91	1
291290	A90	184
291300	A90	21
291300	B550	1
291310	A90	4
291310	B550	1
291320	A90	3
291330	A90	127
291340	A90	10
291340	B551	1
291350	A90	250
291350	A91	2
291360	A270	1
291360	A279	6
291360	A90	360
291360	A91	32
291360	B551	1
291360	B778	1
291370	A90	3
291370	B368	46
291380	B769	1
291390	A90	249
291390	A91	5
291400	A279	1
291400	A90	59
291400	A91	8
291400	B451	1
291400	B550	1
291410	A90	17
291420	A90	3
291430	B559	1
291440	B550	2
291440	B551	1
291450	A90	22
291450	A91	2
291450	B659	1
291460	A90	15
291460	A91	1
291460	B550	7
291460	B559	1
291465	A90	20
291465	A91	2
291465	B409	1
291465	B441	1
291470	A90	14
291470	B550	1
291470	B551	1
291480	A270	4
291480	A278	1
291480	A279	4
291480	A300	1
291480	A308	2
291480	A90	45
291480	A91	3
291480	B378	1
291480	B551	1
291480	B770	1
291490	A279	3
291490	A90	77
291510	A90	4
291510	B451	1
291520	A90	163
291520	A91	3
291535	A90	12
291535	B550	2
291540	A90	4
291550	A279	2
291550	A309	1
291550	A90	85
291560	A90	46
291560	A91	4
291570	A90	9
291580	A90	48
291590	A91	1
291600	A90	104
291600	A91	4
291610	A279	1
291640	A90	20
291640	A91	1
291640	B92	1
291650	A90	4
291660	A90	78
291670	A90	3
291685	A90	18
291685	A91	1
291685	B550	1
291690	A90	5
291700	A90	9
291720	B550	1
291720	B573	1
291730	A90	2
291730	B559	1
291733	A90	13
291733	A91	2
291733	B551	1
291735	A90	22
291740	A90	1
291750	A90	200
291750	A91	1
291750	B550	8
291750	B552	1
291750	B559	2
291750	B575	3
291750	B658	4
291750	B659	1
291760	A302	21
291760	A90	91
291760	B408	20
291770	A90	33
291770	A91	2
291780	B550	7
291780	B779	1
291790	B369	2
291800	A308	1
291800	A90	430
291800	A91	17
291800	B370	1
291800	B402	1
291800	B49	1
291800	B550	4
291800	B559	1
291800	B658	3
291800	B659	3
291810	A90	7
291820	A90	1
291830	A90	10
291830	B829	1
291835	A90	10
291835	A91	2
291835	B550	5
291835	B690	1
291840	A309	2
291840	A90	76
291840	A91	3
291840	B373	1
291840	B378	1
291840	B550	11
291840	B552	1
291840	B559	1
291840	B658	2
291845	A308	1
291845	A90	4
291845	A91	4
291850	A90	13
291855	A90	7
291870	A90	2
291875	A90	1
291890	A90	5
291890	A91	1
291900	A90	1
291905	A90	2
291905	A91	1
291910	A90	2
291915	A90	75
291915	B550	5
291920	A279	6
291920	A305	1
291920	A308	2
291920	A90	29
291920	A91	9
291920	B550	1
291920	B572	1
291920	B829	1
291930	A90	1
291940	B550	1
291940	B651	1
291950	A279	1
291950	A91	1
291950	B550	2
291960	A90	15
291970	A90	3
291970	B479	2
291980	A90	13
291980	B550	3
291980	B570	1
291990	A90	1
291992	A90	13
291992	A91	1
291992	B575	1
291995	B550	1
292000	A90	13
292010	A308	1
292010	A90	26
292010	B550	1
292010	B552	1
292010	B572	1
292020	A90	20
292030	A91	1
292040	A90	10
292040	A91	3
292050	A278	1
292050	A90	18
292060	A279	1
292060	A90	5
292060	B550	1
292060	B572	1
292070	A90	6
292080	A90	3
292080	B550	2
292090	A90	2
292100	A90	81
292100	A91	4
292100	B487	1
292100	B550	2
292100	B570	1
292105	A90	6
292110	A90	100
292110	A91	2
292120	A90	91
292120	B552	1
292130	A308	1
292130	A90	1
292140	A90	4
292145	A90	1
292150	A90	60
292150	B559	2
292170	A90	187
292170	A91	1
292170	B550	1
292190	A308	1
292200	A90	119
292200	A91	4
292205	A90	35
292205	B573	1
292210	A90	28
292210	B839	1
292230	A90	3
292230	A91	1
292230	B550	4
292240	A90	3
292250	A279	1
292250	A90	1
292250	B550	1
292250	B551	1
292250	B779	1
292260	A91	1
292265	A90	11
292273	A90	2
292275	A90	1
292280	A90	1
292280	A91	1
292300	A309	2
292300	A90	86
292300	A91	2
292300	B779	1
292303	A90	2
292305	A90	4
292310	A90	3
292310	B659	1
292320	A91	1
292335	A90	14
292335	A91	2
292340	A90	33
292340	B551	1
292340	B778	1
292360	A90	30
292360	B559	2
292370	A90	2
292380	A308	1
292390	A90	2
292400	A90	8
292400	B550	1
292400	B559	1
292430	A90	31
292440	A90	1
292450	A90	5
292460	A90	27
292465	A90	1
292467	B49	1
292470	B573	1
292480	A90	12
292490	A90	5
292500	A90	8
292500	B550	1
292500	B559	1
292510	A90	4
292510	B658	3
292520	A90	1
292525	A90	146
292530	A90	28
292530	A91	4
292530	B382	1
292530	B402	2
292530	B440	3
292530	B460	1
292550	A309	1
292550	A90	15
292560	A90	8
292560	B550	8
292575	A90	3
292575	B551	1
292575	B559	1
292580	A90	115
292590	B550	2
292593	A90	21
292595	B460	1
292595	B550	3
292600	A90	20
292610	A90	136
292620	A90	16
292620	B570	2
292620	B650	1
292630	A90	94
292630	B370	2
292640	A90	23
292640	B460	1
292640	B551	1
292660	A90	11
292660	A91	1
292660	B379	1
292670	B550	1
292680	A90	7
292680	A91	1
292690	A90	23
292690	B479	1
292690	B559	2
292700	A90	2
292700	B369	38
292700	B658	1
292720	A90	134
292720	B49	2
292730	B550	3
292740	A278	1
292740	A279	113
292740	A300	8
292740	A305	6
292740	A308	49
292740	A309	2
292740	A90	606
292740	A91	211
292740	B370	1
292740	B371	1
292740	B380	1
292740	B383	1
292740	B410	1
292740	B440	3
292740	B441	7
292740	B460	7
292740	B487	1
292740	B49	4
292740	B550	8
292740	B551	3
292740	B559	2
292740	B573	8
292740	B650	2
292740	B690	3
292740	B770	3
292740	B778	1
292740	B779	2
292740	B829	6
292750	A90	4
292750	B550	2
292760	A90	1
292770	A279	1
292770	A90	5
292790	A90	2
292800	A90	115
292800	A91	1
292800	B550	5
292805	A90	3
292810	A90	86
292820	A90	171
292830	A279	1
292830	A90	13
292830	A91	1
292840	A90	5
292850	B49	1
292860	A279	2
292860	A308	2
292860	A90	6
292870	A308	1
292870	A90	13
292870	A91	1
292870	B559	8
292870	B718	1
292880	A279	1
292880	A90	5
292880	B487	1
292880	B550	2
292880	B559	1
292880	B651	1
292880	B769	1
292890	A90	2
292890	B550	1
292895	A90	77
292900	A308	1
292900	A90	1
292900	A91	1
292900	B550	1
292905	A90	11
292905	A91	1
292905	B550	1
292910	A90	1
292920	A90	1
292920	A91	1
292920	B573	1
292925	A90	22
292925	B550	1
292930	A90	1
292930	B368	1
292935	A90	2
292937	A90	15
292940	A90	1
292950	A90	31
292950	A91	7
292960	A90	10
292960	B382	30
292960	B432	1
292960	B440	4
292960	B441	1
292960	B49	1
292970	A308	1
292970	A91	1
292970	B550	1
292975	A90	1
292980	A90	22
292980	B550	1
292990	A308	1
292990	A90	2
292990	B550	1
293000	A90	28
293000	A91	1
293010	A309	1
293010	A90	18
293010	A91	1
293010	B659	1
293020	A90	1
293020	B550	3
293020	B559	1
293030	A309	1
293030	A90	47
293040	A279	1
293040	A90	2
293040	A91	1
293040	B550	2
293040	B698	1
293050	A308	3
293050	A90	233
293050	A91	4
293050	B368	1
293060	A90	11
293060	B479	1
293070	A270	1
293070	A279	5
293070	A305	1
293070	A308	4
293070	A90	101
293070	A91	9
293070	B770	2
293070	B779	1
293070	B814	1
293075	A309	1
293076	A90	13
293076	B488	1
293077	A300	1
293077	A90	1
293077	B550	2
293080	A90	25
293090	A90	4
293105	A90	3
293105	B550	2
293110	A90	9
293120	B551	3
293130	A90	61
293130	B550	1
293130	B551	1
293130	B570	1
293135	A309	2
293135	A90	176
293135	A91	60
293135	B432	1
293140	B659	1
293150	A90	6
293160	A90	1
293170	A90	1
293190	A90	20
293190	B451	1
293190	B550	1
293190	B559	1
293200	A90	16
293210	A90	9
293220	A90	44
293230	A90	112
293240	A90	7
293240	A91	2
293240	B550	9
293245	A90	4
293250	A279	1
293250	A90	123
293260	B573	1
293270	A90	16
293270	A91	4
293280	A90	40
293290	A279	4
293290	A308	1
293290	A90	40
293290	A91	19
293290	B369	2
293290	B370	1
293290	B488	2
293290	B49	1
293290	B814	1
293300	A90	248
293300	A91	2
293300	B550	1
293305	A90	15
293310	A90	5
293315	A90	65
293320	A279	1
293320	A90	1
293325	A90	4
293325	A91	1
293330	A90	24
293330	A91	1
293330	B375	1
293330	B388	3
293330	B488	1
293330	B49	1
293330	B550	1
293330	B551	1
293330	B573	1
293330	B659	1
293330	B690	6
293330	B770	1
293330	B839	1
293330	B92	1
293345	A305	1
293345	A309	1
293345	A90	26
293350	A90	1
293350	B452	1
293360	A308	1
293360	A90	23
293360	B573	1
311820	A91	1
313695	A90	1
314675	A90	1
315710	A90	1
330455	A90	2
355030	A90	1
411370	A91	1
530010	A90	1
120040	A90	1
150810	A90	1
230010	A90	24
230010	A91	1
230010	B550	1
230010	B690	1
230010	B699	1
230015	A304	1
230015	A309	3
230015	A90	1
230015	B382	1
230015	B659	1
230015	B770	1
230020	A90	2
230030	A90	183
230030	B550	2
230030	B690	1
230040	A90	23
230040	B354	2
230040	B550	1
230050	B369	1
230060	A90	2
230075	A90	4
230075	A91	1
230080	A90	33
230090	A270	1
230090	A90	8
230090	B550	2
230100	A90	20
230100	B419	1
230100	B550	2
230100	B551	2
230110	A90	9
230110	B690	1
230120	A309	1
230120	A90	2
230120	B550	1
230120	B690	1
230125	A90	2
230125	B550	2
230125	B559	1
230130	A309	2
230130	A90	15
230130	B550	2
230150	A90	19
230150	B354	3
230160	A90	3
230160	B550	2
230160	B573	2
230170	A90	27
230170	B460	4
230170	B573	1
230180	A90	10
230185	B460	1
230185	B550	1
230185	B559	1
230190	A300	1
230190	A309	1
230190	A90	48
230190	B550	6
