MUNIC_RES	DIAG_PRINC	QTD
231140	B371	1
231140	B460	4
231150	B690	1
231160	A270	1
231160	A90	5
231160	B659	1
231170	A90	3
231170	B369	1
231170	B690	2
231180	A270	2
231180	A300	3
231180	A90	21
231180	B49	1
231180	B550	2
231180	B659	1
231180	B690	1
231180	B839	2
231190	A90	7
231195	A300	1
231195	A90	30
231195	B550	1
231200	B369	2
231200	B559	1
231210	A90	22
231210	B573	1
231220	A300	2
231220	A90	73
231220	B368	1
231220	B389	3
231220	B559	4
231230	B550	1
231230	B559	1
231230	B690	1
231240	A270	2
231240	A90	5
231240	B559	1
231240	B690	1
231260	B479	1
231270	A90	1
231270	A91	1
231270	B460	2
231280	B559	1
231290	A279	4
231290	A309	3
231290	A90	10
231290	B369	1
231290	B550	2
231290	B559	23
231290	B573	1
231290	B690	3
231290	B92	1
231310	A90	9
231310	B658	1
231320	A90	48
231320	B358	1
231320	B550	1
231330	A300	2
231330	A308	1
231330	A309	1
231330	A90	467
231330	A91	18
231330	B354	79
231330	B550	2
231335	A270	1
231340	A90	3
231340	B550	1
231340	B559	1
231350	A90	4
231355	A309	1
231360	B559	1
231380	A90	1
231380	A91	1
231390	B370	1
231390	B559	1
231390	B690	1
231395	A90	5
231395	B559	3
231400	A90	4
231400	A91	2
231400	B370	1
231410	B550	6
231410	B551	8
231410	B559	1
240320	A90	1
241250	A309	1
261350	A90	9
431490	A90	1
290390	A90	1
290930	B573	1
292810	A90	1
292810	B550	1
292810	B572	1
292810	B659	1
310350	B551	1
310450	A90	1
310930	A309	1
310930	B573	1
314280	B550	1
314700	A90	1
314700	B479	1
314700	B550	1
317040	B550	12
520025	A300	1
520025	A90	18
520025	B552	1
520060	B369	1
520530	B550	2
520549	A90	6
520549	B552	1
520551	B550	1
520620	A91	1
520620	B550	1
520620	B690	1
520620	B779	1
520800	A90	6
520800	B369	3
520800	B779	1
520870	A309	1
520870	A90	1
520890	A90	1
520890	B550	2
521250	A309	1
521250	A90	14
521250	A91	1
521250	B550	1
521270	A90	1
521460	A308	1
521523	A279	1
521523	A90	20
521523	B419	1
521523	B550	1
521523	B572	1
521760	A279	1
521760	A90	15
521760	B369	4
521760	B559	1
521830	A90	2
521830	B573	1
521975	A301	1
521975	A308	1
521975	A90	31
521975	A91	2
521975	B451	1
521980	B550	1
522108	B550	2
522185	A90	6
522185	B378	1
522185	B550	3
522185	B690	1
530010	A279	3
530010	A300	5
530010	A303	1
530010	A304	1
530010	A305	1
530010	A309	4
530010	A90	94
530010	A91	7
530010	B356	1
530010	B368	1
530010	B371	1
530010	B417	1
530010	B419	2
530010	B429	1
530010	B448	1
530010	B451	1
530010	B471	2
530010	B479	3
530010	B488	1
530010	B550	2
530010	B551	7
530010	B552	2
530010	B559	2
530010	B572	1
530010	B573	3
530010	B651	1
530010	B658	1
530010	B690	3
530010	B780	1
530020	A90	10
530020	B550	4
530020	B574	1
530020	B690	1
530030	A90	3
530030	B572	2
530030	B573	1
530040	A279	2
530040	A300	3
530040	A309	5
530040	A90	56
530040	A91	6
530040	B368	1
530040	B402	2
530040	B550	1
530040	B551	1
530040	B572	3
530040	B573	1
530040	B659	1
530040	B690	1
530040	B779	1
530050	A90	1
530060	A300	1
530060	A90	40
530060	B418	1
530060	B550	1
530060	B572	1
530060	B690	1
530070	A305	1
530070	A309	1
530070	A90	54
530070	A91	1
530070	B550	1
530070	B572	1
530070	B690	1
530090	B559	1
530100	A270	1
530100	A90	1
530100	B488	1
530100	B690	1
530100	B92	1
530110	A270	1
530110	A279	1
530110	A300	1
530110	A303	1
530110	A309	1
530110	A90	92
530110	B573	2
530120	A309	1
530120	A90	93
530120	A91	1
530120	B368	6
530120	B369	1
530120	B374	1
530120	B550	1
530120	B570	1
530120	B572	1
530120	B573	5
530120	B575	1
530120	B690	2
530130	A300	1
530130	A90	14
530130	B551	1
530130	B572	1
530135	A279	1
530135	A90	8
530135	B410	1
530135	B550	3
530135	B559	1
530140	A270	1
530140	A279	2
530140	A300	2
530140	A309	2
530140	A90	38
530140	A91	2
530140	B354	1
530140	B551	1
530140	B552	1
530140	B572	2
530140	B573	2
530140	B690	3
530150	A279	1
530150	A309	1
530150	A90	25
530150	A91	1
530150	B550	1
530150	B572	1
530150	B839	1
530160	A300	1
530160	A90	9
530160	B378	1
530160	B573	2
530170	A300	2
530170	A309	1
530170	A90	82
530170	B350	4
530170	B368	10
530170	B369	18
530170	B382	2
530170	B550	1
530170	B559	6
530170	B572	1
530170	B573	2
530170	B575	2
530180	A279	3
530180	A300	1
530180	A308	1
530180	A309	1
530180	A90	41
530180	A91	3
530180	B370	2
530180	B374	1
530180	B380	1
530180	B451	2
530180	B470	1
530180	B550	2
530180	B551	1
530180	B559	2
530180	B570	2
530180	B572	3
530180	B573	1
530180	B690	7
110037	A90	1
150060	A90	2
211280	A90	1
241340	A90	1
270030	A90	1
291535	A90	1
291600	A90	1
292200	A90	1
292300	A90	1
312083	A90	1
320010	A279	1
320010	A303	1
320010	A90	3
320020	A279	1
320020	A300	1
320020	A305	1
320020	A308	1
320020	A90	7
320020	B350	1
320030	A90	4
320035	A309	1
320035	A90	3
320035	B49	1
320040	A309	1
320040	A90	36
320040	A91	2
320040	B371	1
320050	A90	1
320060	A90	22
320060	A91	7
320070	A90	7
320080	A279	2
320080	A90	11
320080	B659	1
320090	A90	1
320100	A90	2
320115	B371	1
320115	B410	1
320120	A279	3
320120	A308	1
320120	A90	16
320120	A91	1
320120	B402	2
320120	B441	1
320120	B550	1
320120	B559	1
320130	A279	2
320130	A300	4
320130	A301	8
320130	A303	1
320130	A305	60
320130	A308	2
320130	A309	4
320130	A90	108
320130	A91	10
320130	B370	2
320130	B371	55
320130	B379	2
320130	B390	1
320130	B402	2
320130	B407	2
320130	B420	1
320130	B450	1
320130	B690	1
320140	A279	1
320140	A90	3
320150	A279	3
320150	A90	103
320150	A91	2
320150	B370	2
320160	A90	7
320170	A279	1
320170	B371	1
320180	B659	1
320190	A304	1
320190	A90	33
320190	B382	1
320190	B400	1
320190	B402	1
320190	B419	1
320190	B651	1
320190	B659	1
320200	A90	1
320210	A90	10
320220	A90	3
320220	A91	1
320225	A90	1
320230	A90	64
320230	A91	1
320240	A90	482
320240	A91	3
320240	B371	7
320240	B380	1
320240	B382	1
320240	B431	1
320245	A279	2
320245	A90	23
320250	A91	1
320255	A308	1
320260	A279	1
320260	A90	20
320260	A91	1
320265	A90	2
320270	A90	12
320280	A90	13
320290	A279	1
320290	A90	23
320300	A90	11
320300	A91	1
320300	B371	1
320305	A90	1
320310	A90	1
320313	A90	1
320316	A279	1
320316	A304	1
320316	A90	1
320320	A304	1
320320	A309	2
320320	A90	8
320320	B378	1
320330	A300	3
320330	A309	1
320330	A90	41
320332	A90	3
320332	B380	1
320334	A90	12
320334	B371	1
320335	A279	1
320335	A90	2
320335	A91	1
320340	A278	1
320340	A279	1
320340	A90	1
320350	A90	34
320360	A90	8
320370	A300	1
320370	A308	1
320370	B551	1
320380	A90	6
320390	A279	7
320390	A300	2
320390	A90	55
320400	A90	9
320400	B659	1
320405	A309	1
320405	A90	4
320410	A90	17
320420	A90	31
320420	B49	1
320425	A90	4
320435	A90	1
320450	A90	4
320450	B379	1
320455	A279	3
320455	A90	3
320460	A278	1
320460	A90	8
320460	B658	1
320465	A90	2
320470	A90	21
320480	A90	3
320480	B370	1
320490	A309	3
320490	A90	26
320495	A90	2
320495	A91	1
320495	B370	1
320500	A279	1
320500	A300	2
320500	A301	1
320500	A303	1
320500	A304	1
320500	A305	1
320500	A308	1
320500	A309	7
320500	A90	98
320500	A91	18
320500	B371	9
320500	B379	1
320500	B409	1
320500	B49	1
320500	B573	1
320500	B659	1
320501	A90	5
320501	A91	2
320503	A279	2
320503	A90	1
320506	A279	2
320506	A90	2
320506	B410	1
320506	B551	1
320510	A304	2
320510	A309	1
320510	A820	1
320510	A90	60
320510	A91	2
320510	B371	8
320510	B400	2
320510	B440	1
320510	B441	1
320515	A90	6
320517	A90	3
320520	A279	2
320520	A300	3
320520	A820	1
320520	A90	245
320520	A91	16
320520	B371	170
320520	B551	1
320520	B651	1
320530	A300	1
320530	A305	1
320530	A309	2
320530	A90	82
320530	A91	2
320530	B371	15
320530	B377	1
320530	B379	2
320530	B400	1
320530	B407	5
320530	B573	1
330455	B371	1
420690	A90	1
510710	A90	1
120040	A91	1
150360	B488	1
150548	A90	1
170240	A90	2
170740	A308	1
171150	A309	1
171620	A90	1
172100	A90	2
210405	B550	1
290930	A90	3
292905	B551	1
315980	A90	1
315980	A91	1
316720	A90	1
317020	A90	1
352410	A90	1
510020	A270	1
510030	A91	1
510180	A90	21
510180	A91	14
510270	A90	2
510625	A90	1
510625	A91	1
510665	A90	1
510665	A91	1
510719	A91	1
520005	A300	1
520005	A308	1
520005	A90	2
520010	A90	3
520010	A91	1
520013	A309	2
520013	A90	59
520013	A91	1
520013	B371	1
520013	B380	4
520013	B381	4
520013	B382	3
520013	B390	1
520013	B391	2
520013	B392	2
520013	B400	2
520013	B401	1
520013	B402	1
520013	B410	3
520013	B420	3
520013	B440	3
520013	B450	5
520013	B460	3
520015	A90	1
520020	A90	1
520025	A308	1
520025	A90	74
520030	A90	1
520030	B573	1
520030	B92	1
520050	A90	3
520080	A90	62
520085	A90	2
520085	B408	1
520090	A90	6
520110	A300	7
520110	A304	1
520110	A308	2
520110	A90	341
520110	A91	6
520110	B409	1
520110	B551	1
520110	B570	1
520110	B572	1
520110	B573	8
520110	B690	1
520110	B92	271
520130	A309	1
520130	A90	102
520130	B371	2
520130	B573	1
520140	A300	1
520140	A308	15
520140	A309	6
520140	A90	295
520140	A91	27
520140	B358	1
520140	B368	1
520140	B371	1
520140	B380	4
520140	B381	1
520140	B382	2
520140	B390	2
520140	B391	1
520140	B392	4
520140	B399	1
520140	B400	7
520140	B401	3
520140	B402	2
520140	B409	1
520140	B440	3
520140	B441	5
520140	B450	1
520140	B460	4
520140	B49	1
520140	B550	1
520140	B559	1
520140	B571	1
520140	B573	2
520140	B575	1
520140	B690	1
520140	B92	1
520150	A303	1
520150	A90	17
520160	A308	1
520160	A309	2
520160	A90	12
520170	A308	1
520170	A90	70
520170	A91	30
520170	B550	1
520180	A90	69
520180	B392	1
520180	B400	1
520180	B839	1
520215	A90	29
520235	A90	15
520250	A308	2
520250	A309	1
520260	A90	4
520280	A90	3
520320	A90	70
520330	A90	4
520330	A91	1
520330	B401	1
520340	A90	21
520340	A91	1
520350	A308	3
520350	A90	55
520355	A308	1
520355	A309	1
520355	A90	11
520355	B392	2
520355	B402	1
520355	B440	1
520355	B441	1
520355	B450	1
520360	A309	1
520360	A91	1
520380	A302	1
520380	A90	1
520380	B392	1
520380	B450	2
520390	A90	4
520393	A90	2
520396	A90	3
520400	A90	2
520410	A309	1
520410	A90	4
520425	A90	9
520430	A90	134
520430	B379	1
520440	A90	277
520450	A308	1
520450	A90	68
520450	B451	1
520450	B550	1
520450	B551	1
520455	A308	1
520455	A90	3
520460	A90	2
520460	B380	1
520460	B390	1
520465	A90	4
520470	A309	2
520470	A90	49
520470	B410	1
520480	A90	1
520485	A90	3
520490	A90	208
520490	B92	2
520495	A90	9
520495	B550	1
520500	A90	7
520510	A309	8
520510	A90	88
520510	B402	1
520520	A90	7
520530	A90	2
520530	A91	1
520540	A300	1
520540	A90	27
520540	A91	1
520545	A309	1
520545	A90	5
520547	A90	3
520549	A90	1
520551	A300	1
520551	A90	3
520551	B551	1
520551	B573	1
520552	B550	1
520570	A90	3
520570	A91	1
520580	A90	1
520590	A308	1
520590	A90	1
520630	A90	14
520640	A90	153
520640	B381	2
520640	B390	1
520640	B391	3
520640	B392	1
520640	B401	1
520640	B402	1
520680	A90	7
520710	A90	2
520725	A90	190
520725	A91	2
520740	A300	1
520740	A90	101
520740	A91	1
520750	A90	6
520753	A90	40
520760	A303	1
520760	B441	1
520790	A90	30
520800	A279	1
520800	A90	16
520800	B570	2
520810	B572	1
520815	A300	1
520830	A303	1
520840	A300	1
520840	A305	1
520840	A308	1
520840	A90	9
520840	B391	2
520840	B450	1
520840	B460	1
520860	A270	1
520860	A300	2
520860	A308	2
520860	A309	1
520860	A90	120
520860	B49	1
520860	B550	1
520860	B779	1
520870	A278	2
520870	A279	1
520870	A300	3
520870	A302	1
520870	A303	2
520870	A305	1
520870	A308	82
520870	A309	37
520870	A90	1243
520870	A91	191
520870	B359	1
520870	B368	1
520870	B371	7
520870	B379	1
520870	B380	12
520870	B381	3
520870	B382	11
520870	B390	6
520870	B391	7
520870	B392	7
520870	B399	1
520870	B400	10
520870	B401	7
520870	B402	8
520870	B409	1
520870	B410	11
520870	B417	1
520870	B420	4
520870	B440	8
520870	B441	9
520870	B450	8
520870	B451	1
520870	B460	5
520870	B488	2
520870	B49	3
520870	B550	9
520870	B551	7
520870	B559	3
520870	B573	9
520870	B690	3
520870	B92	336
520880	A308	2
520880	A90	65
520890	A90	58
520890	B380	1
520890	B381	1
520890	B382	10
520890	B402	1
520910	A90	12
520910	B573	1
520920	B460	1
520920	B551	1
520929	A300	1
520940	A90	2
520945	A90	3
520945	B402	1
520945	B410	1
520970	A308	1
520970	A309	2
520970	A90	158
520970	A91	1
520980	A90	19
520990	A90	133
520993	A308	1
520993	A309	1
520995	A90	99
520995	A91	1
521000	A308	4
521000	A90	40
521000	A91	1
521000	B49	1
521000	B550	1
521000	B552	1
521000	B570	1
521010	A90	5
521010	B371	2
521010	B380	5
521010	B381	1
521010	B390	1
521010	B391	2
521010	B392	2
521010	B400	2
521010	B401	3
521010	B402	2
521010	B420	2
521010	B440	1
521010	B441	2
521010	B450	1
521020	A309	1
521020	A90	87
521020	B49	1
521020	B92	1
521030	A90	1
521040	A308	1
521040	A309	1
521040	A90	61
521056	A90	1
521060	A90	16
521060	B371	1
521060	B381	1
521060	B382	2
521060	B390	1
521080	A90	37
521090	A302	1
521090	A304	2
521090	A309	1
521090	A90	253
521090	B371	1
521090	B380	3
521090	B381	2
521090	B382	1
521090	B391	2
521090	B393	1
521090	B410	1
521090	B420	1
521090	B440	3
521090	B441	3
521090	B460	1
521100	A90	2
521120	A308	2
521120	A309	4
521120	A90	103
521120	B383	1
521120	B402	1
521130	A90	32
521130	B402	1
521140	A90	10
521140	B401	1
521150	A308	1
521150	A309	1
521150	A90	15
521150	A91	1
521160	A90	6
521170	A90	38
521180	A308	1
521180	A90	16
521190	A309	1
521190	A90	403
521190	A91	31
521190	B410	1
521190	B471	1
521190	B49	1
521190	B550	1
521190	B551	1
521200	A90	3
521205	A90	1
521210	A90	1
521220	A90	70
521220	B551	1
521220	B552	1
521230	A90	28
521250	A90	6
521260	A90	2
521270	A90	28
521280	A270	1
521280	A308	2
521280	A90	133
521290	A90	2
521295	A90	4
521300	A90	14
521308	A300	1
521308	A309	3
521308	A90	9
521308	B410	1
521308	B439	1
521308	B451	2
521308	B481	1
521308	B551	1
521308	B571	2
521310	A309	1
521310	A90	60
521310	B369	1
521350	A308	1
521350	A90	40
521370	A90	7
521370	A91	1
521375	A90	11
521375	B369	1
521380	A300	1
521380	A90	125
521380	B451	1
521380	B488	3
521385	A90	2
521390	A90	4
521400	A300	1
521400	A308	2
521400	A90	3
521400	A91	1
521400	B380	1
521400	B381	3
521400	B382	1
521400	B391	1
521400	B392	2
521400	B400	1
521400	B401	1
521400	B420	2
521400	B441	1
521400	B460	1
521405	A90	2
521410	A90	23
521410	B380	1
521410	B391	1
521410	B392	1
521410	B402	1
521410	B410	1
521410	B420	1
521410	B450	1
521410	B559	1
521440	A90	17
521440	B488	1
521440	B559	1
521450	A309	1
521450	A90	308
521450	A91	2
521450	B410	1
521460	A308	2
521460	A309	1
521460	A90	203
521460	A91	2
521480	A90	2
521483	A308	1
521483	A309	1
521483	A90	2
521483	B371	1
521483	B381	1
521483	B402	1
521483	B410	2
521483	B420	1
521483	B440	1
521483	B441	1
521486	A300	1
521486	A90	3
521487	A90	1
521487	B550	1
521490	A90	1
521500	A90	12
521525	A309	1
521530	A90	16
521540	A90	18
521560	A90	22
521565	A300	1
521565	A90	21
521570	A90	22
521570	B371	2
521570	B380	1
521570	B381	3
521570	B382	1
521570	B390	2
521570	B391	1
521570	B392	1
521570	B400	1
521570	B401	1
521570	B402	4
521570	B420	1
521570	B440	3
521570	B441	3
521570	B450	2
521570	B460	1
521580	A90	1
521590	A90	3
521590	B371	2
521590	B380	2
521590	B391	2
521590	B392	1
521590	B401	1
521590	B402	1
521590	B410	2
521590	B460	1
521630	A90	49
521640	A305	1
521640	A90	68
521645	A91	1
521680	A90	5
521680	B371	1
521680	B382	1
521680	B392	1
521680	B401	1
521690	A90	1
521710	A308	1
521710	A90	119
521710	A91	1
521710	B370	1
521710	B392	1
521710	B399	1
521720	A309	1
521720	A90	28
521720	A91	1
521730	A308	2
521730	A309	1
521730	A90	56
521730	B371	1
521730	B380	1
521730	B381	1
521730	B382	1
521730	B390	3
521730	B391	2
521730	B402	1
521730	B410	2
521730	B420	1
521730	B440	1
521730	B441	1
521730	B450	1
521730	B550	2
521740	A308	1
521740	A90	22
521760	A90	41
521770	A90	23
521800	A309	4
521800	A90	102
521800	A91	3
521800	B550	1
521810	A90	11
521830	A90	131
521830	A91	1
521830	B559	1
521830	B570	2
521839	A90	4
521850	A308	1
521850	A90	88
521850	A91	1
521860	A90	165
521860	B573	1
521870	A300	1
521870	A90	1
521878	A90	1
521880	A305	1
521880	A90	88
521880	A91	5
521880	B358	1
521880	B551	1
521880	B829	1
521890	A302	1
521890	A308	1
521890	A90	39
521890	B381	1
521890	B402	1
521890	B573	1
521900	A90	19
521910	A308	1
521910	A90	35
521910	B391	1
521920	A90	2
521925	A90	38
521930	A309	4
521930	A90	36
521940	B399	1
521945	A90	4
521950	A309	1
521950	A90	2
521960	A90	60
521960	A91	1
521970	A90	10
521970	B371	2
521970	B380	2
521970	B381	2
521970	B382	2
521970	B390	1
521970	B391	4
521970	B392	1
521970	B400	2
521970	B401	2
521970	B402	3
521970	B410	2
521970	B440	1
521970	B441	3
521970	B460	1
521971	A90	1
521973	B400	1
521975	A90	308
521980	A90	1
521990	A90	1
522000	A90	38
522000	B572	1
522005	A90	1
522010	A308	2
522010	A309	1
522010	A90	257
522015	B450	1
522020	A308	6
522020	A90	34
522020	B371	1
522020	B380	1
522020	B390	1
522020	B410	1
522020	B550	1
522026	A90	7
522040	A90	31
522040	A91	2
522040	B92	1
522045	A303	1
522045	A308	4
522045	A309	3
522045	A90	137
522045	A91	4
522045	B381	1
522045	B390	1
522045	B441	1
522045	B551	1
522045	B573	1
522050	A90	13
522060	A308	1
522060	A90	1
522068	A90	6
522070	A91	1
522100	A90	3
522108	A90	2
522119	A90	1
522130	A90	1
522140	A308	6
522140	A309	4
522140	A90	370
522140	A91	1
522140	B402	1
522140	B410	1
522140	B450	1
522140	B49	1
522145	A90	26
522145	B391	1
522150	A308	1
522150	A90	12
522155	A90	1
522160	A90	67
522160	A91	1
522160	B551	2
522170	A90	132
522170	A91	1
522190	A308	1
522200	A90	26
522205	A90	3
522220	A90	4
522230	A90	1
530040	A90	1
150293	A90	1
170770	A90	1
172100	A90	1
210005	A308	18
210005	A90	47
210005	A91	8
210005	B359	2
210005	B400	1
210005	B488	1
210005	B550	11
210005	B559	2
210015	A90	2
210020	B550	1
210030	A90	22
210030	B381	1
210030	B391	1
210030	B550	2
210043	A90	2
210043	B550	1
210043	B559	1
210047	A308	1
210047	A309	3
210047	A90	96
210050	A90	2
210060	A309	2
210060	A90	10
210060	B550	3
210060	B559	1
210070	A90	23
210070	B369	1
210080	A279	1
210080	A90	35
210080	B838	1
210083	A90	1
210090	A90	1
210100	A90	1
210120	A279	1
210120	A304	1
210120	A90	10
210120	B369	1
210120	B401	1
210120	B49	2
210120	B550	2
210120	B559	2
210120	B770	1
210130	A90	18
210130	B441	2
210140	A90	2
210140	A91	1
210150	A90	207
210160	A308	2
210160	A90	2
210160	A91	1
210160	B550	2
210160	B559	3
210160	B770	1
210170	B369	1
210170	B550	1
210177	A309	1
210177	A90	1
210180	A90	9
210190	A90	1
210190	B49	1
210193	A90	3
210193	B550	2
210197	A309	1
210200	A309	2
210200	A90	31
210200	B690	1
210203	A308	1
210203	A90	9
210203	A91	1
210203	B410	1
210210	A308	1
210210	A90	157
210220	B370	1
210230	A90	16
210230	B550	1
210232	A308	2
210232	A90	54
210232	B410	1
210232	B92	1
210235	A90	1
210237	A90	1
210240	A90	2
210240	B371	1
210255	A90	12
210255	A91	3
210260	A90	4
210270	A300	1
210270	B550	1
210270	B551	1
210280	A90	14
210290	A304	1
210300	A305	1
210300	A90	16
210300	A91	2
210300	B371	1
210300	B392	1
210300	B400	1
210300	B401	1
210300	B402	2
210300	B441	5
210300	B470	1
210300	B550	21
210300	B573	1
210300	B92	1
210310	B573	1
210312	A90	6
210315	A90	1
210320	A278	1
210320	A90	11
210320	B378	2
210320	B488	1
210320	B49	1
210320	B550	1
210320	B551	1
210325	A90	23
210330	A305	1
210330	A90	5
210330	B550	1
210330	B552	6
210340	A90	1
210340	B441	1
210340	B470	1
210340	B550	1
210350	B382	1
210350	B551	1
210360	A309	2
210360	A90	3
210360	B550	3
210360	B559	2
210360	B573	1
210360	B779	2
210370	A90	5
210375	A90	4
210375	B559	2
210380	A90	3
210380	B369	1
210400	A90	14
210400	B550	1
210405	A90	16
210407	A90	25
210407	B380	1
210410	A90	2
210420	A300	2
210420	A90	13
210420	B550	1
210440	A90	9
210450	A90	12
210455	A90	12
210455	B550	1
210455	B569	1
210460	A90	3
210460	B458	6
210460	B465	1
210462	B371	37
210462	B392	2
210465	A90	2
210467	A309	1
210467	A90	13
210467	B382	1
210470	A90	15
210480	A90	6
210480	B550	1
210480	B559	3
210490	A90	1
210490	B371	5
210500	B369	2
210510	A91	1
210510	B371	2
210510	B479	1
210530	A304	1
210530	A309	4
210530	A90	21
210530	A91	4
210530	B379	1
210530	B382	1
210530	B402	1
210530	B409	1
210530	B419	1
210530	B460	1
210530	B550	2
210530	B551	1
210530	B559	30
210530	B770	4
210530	B779	4
210535	A90	1
210535	B550	1
210540	B550	11
210542	A304	1
210542	A309	1
210542	A90	11
210542	B550	1
210542	B559	1
210542	B829	1
210545	B550	1
210550	A309	1
210550	A90	16
210550	B559	1
210550	B770	1
210560	A90	3
210560	B559	2
210560	B560	1
210565	A90	1
210570	A308	1
210570	A309	1
210570	A90	20
210570	A91	1
210570	B550	1
210570	B559	1
210580	A90	31
210590	A90	7
210590	A91	1
210590	B92	1
210594	A90	47
210596	A90	2
210598	A90	2
210598	B559	1
210600	A90	8
210610	A90	2
210610	B382	1
210610	B441	1
210632	A90	2
210637	A90	6
210640	A90	1
210640	B369	1
210640	B378	1
210650	A90	2
210660	A90	90
210667	A90	5
210670	A90	3
210670	B571	1
210675	A90	1
210675	B383	1
210675	B550	3
210675	B92	1
210680	A90	1
210700	B559	1
210720	B450	1
210720	B550	1
210730	A90	6
210735	A90	2
210745	A90	1
210745	B429	1
210745	B551	1
210750	A304	1
210750	A90	29
210750	A91	11
210750	B358	1
210750	B368	1
210750	B369	1
210750	B371	1
210750	B479	2
210750	B550	3
210750	B551	1
210750	B573	4
210750	B92	1
210760	A90	1
210760	B382	1
210770	A90	34
210780	A309	1
210780	A90	1
210780	B370	1
210780	B550	1
210790	A90	30
210800	A90	15
210805	A90	1
210805	A91	1
210805	B550	1
210810	B359	3
210820	A309	1
210820	A90	221
210820	B550	8
210825	A90	10
210825	B371	6
210825	B392	1
210825	B458	1
210830	A90	1
210840	A90	7
210840	B368	1
210845	A90	2
210845	B559	1
210845	B779	1
210850	A303	1
210850	A90	2
210850	B369	1
210860	A90	5
210860	A91	1
210860	B358	1
210860	B49	1
210860	B551	1
210870	A90	2
210870	B550	1
210890	A90	3
210900	A308	1
210900	A90	4
210900	A91	2
210900	B559	2
210910	A279	1
210910	A90	57
210910	B371	11
210910	B392	2
210920	A308	1
210920	A309	2
210923	A90	1
210927	B573	1
210930	A90	3
210940	A90	4
210945	A309	2
210945	A90	1
210945	B369	1
210945	B814	1
210945	B839	1
210950	A90	52
210950	B418	1
210950	B559	2
210955	A90	3
210955	B559	1
210960	A90	3
210960	B550	2
210970	A90	2
210970	B369	1
210980	A309	1
210980	A90	78
210990	A309	4
210990	A90	10
210990	B369	1
210990	B559	1
211000	A308	1
211000	A309	1
211000	A90	17
211000	B550	1
211003	A300	2
211003	A301	1
211003	A90	9
211003	B418	1
211003	B571	2
211010	A90	61
211020	A300	2
211020	A90	2
211020	B718	1
211023	A90	3
211027	B550	1
211040	A90	1
211040	B573	1
211050	A90	1
211060	A90	70
211065	B551	1
211070	A90	2
211070	B559	1
211070	B829	4
211085	A90	2
211085	B779	1
211090	A90	7
211100	A90	1
211100	B371	3
211100	B392	2
211102	A90	2
211102	A91	1
211107	A90	1
211107	B550	1
211110	A309	3
211110	A90	126
211120	A309	6
211120	A90	32
211120	A91	5
211120	B369	3
211120	B370	4
211120	B550	2
211120	B551	2
211125	A309	1
211125	A90	59
211125	B371	2
211130	A279	3
211130	A300	2
211130	A308	1
211130	A309	52
211130	A90	475
211130	A91	131
211130	B358	4
211130	B368	2
211130	B369	33
211130	B371	1
211130	B382	3
211130	B389	4
211130	B400	2
211130	B401	1
211130	B402	1
211130	B430	1
211130	B439	1
211130	B441	8
211130	B479	1
211130	B550	6
211130	B551	3
211130	B559	3
211130	B573	4
211130	B650	1
211130	B658	1
211130	B680	2
211130	B820	1
211130	B838	1
211140	A90	25
211140	B383	1
211140	B550	2
211140	B551	1
211150	A90	16
211150	B409	1
211150	B550	2
211153	A90	2
211157	B559	1
211160	A90	1
211160	B369	1
211170	A90	25
211170	B403	1
211172	A90	15
211176	A90	1
211176	A91	1
211176	B559	3
211178	A90	1
211178	B49	1
211178	B551	1
211180	A309	2
211180	A90	5
211190	A90	1
211190	B571	1
211195	A90	11
211200	A90	7
211210	A90	20
211210	B368	1
211210	B779	2
211220	A309	1
211220	A90	52
211220	B382	1
211220	B390	2
211220	B550	1
211223	A90	55
211227	A90	1
211230	A300	12
211230	A90	3
211240	A90	101
211240	A91	1
211240	B659	1
211245	A90	2
211250	A90	49
211250	B379	1
211250	B550	1
211260	A90	1
211270	A308	1
211270	A90	1
211270	B378	1
211270	B382	1
211270	B49	1
211270	B550	1
211270	B551	3
211270	B839	1
211280	A91	2
211280	B488	5
211285	A309	1
211285	A90	39
211285	B410	1
211285	B419	1
211290	A90	1
211300	A90	55
211300	B369	1
211300	B573	3
211400	A300	3
211400	A90	4
211400	B382	2
211400	B550	1
211400	B571	1
211400	B829	1
220390	A90	1
270230	A90	1
110007	A90	1
110012	A90	1
150060	A90	1
150503	A90	1
230540	A90	1
314500	A90	1
316860	A90	1
420195	A90	1
431720	A90	1
500270	A90	1
510010	A90	4
510010	B550	1
510020	A90	10
510025	A90	11
510025	B402	1
510025	B408	1
510025	B460	1
510025	B488	2
510030	A90	7
510030	A91	2
510035	A90	3
510050	A90	5
510050	A91	4
510120	A90	1
510125	A90	46
510125	B408	1
510125	B49	1
510130	A90	18
510140	A309	2
510140	A90	102
510140	A91	3
510160	A90	3
510170	A309	1
510170	A90	33
510170	A91	5
510180	A90	17
510180	A91	1
510180	B49	1
510180	B551	1
510185	A90	4
510190	A309	1
510190	A90	3
510190	A91	1
510190	B92	1
510250	A300	3
510250	A308	18
510250	A309	1
510250	A90	112
510250	A91	59
510250	B350	1
510250	B408	3
510250	B49	1
510250	B551	2
510250	B552	1
510250	B559	1
510250	B92	1
510260	A90	29
510263	A305	1
510263	A90	27
510263	B399	2
510267	A300	2
510267	A309	1
510267	A90	95
510267	A91	3
510267	B659	1
510270	A90	8
510285	A90	2
510300	A309	1
510300	A90	21
510300	B92	1
510305	A90	26
510305	B92	1
510310	A90	2
